variable,column,category,available_in_data,n_total,n_available,n_missing,pct_missing
Age,age,Demographics,True,246,244,2,0.8
Sex,sex,Demographics,True,246,246,0,0.0
BMI / obesity,bmi,Demographics,False,246,0,246,100.0
Hypertension,hypertension,Comorbidities,True,246,229,17,6.9
Diabetes mellitus,diabetes,Comorbidities,True,246,229,17,6.9
Smoking history,smoking,Comorbidities,True,246,231,15,6.1
Prior antiplatelet (ASS),prior_ass,Comorbidities,True,246,228,18,7.3
Prior antiplatelet (Clopidogrel),prior_clopidogrel,Comorbidities,True,246,228,18,7.3
Prior oral anticoagulation,prior_oac,Comorbidities,True,246,228,18,7.3
Pre-morbid mRS,premorbid_mrs,Comorbidities,True,246,230,16,6.5
Cardiovascular disease,cardiovascular_disease,Comorbidities,False,246,0,246,100.0
Hunt-Hess grade,hunt_hess,Clinical Grades,True,246,229,17,6.9
WFNS grade,wfns,Clinical Grades,True,246,229,17,6.9
GCS on admission,gcs_admission,Clinical Grades,True,246,246,0,0.0
Modified Fisher grade,fisher_score,Clinical Grades,True,246,227,19,7.7
Intubated on admission,intubated_admission,Clinical Grades,True,246,246,0,0.0
IVH,ivh,Clinical Grades,True,246,234,12,4.9
ICH,ich,Clinical Grades,True,246,227,19,7.7
Thick SAH burden,thick_sah_burden,Clinical Grades,False,246,0,246,100.0
Admission MAP,admission_map,Physiology,True,246,245,1,0.4
Admission SBP,admission_sbp,Physiology,True,246,245,1,0.4
Admission temperature,admission_temp,Physiology,True,246,246,0,0.0
Admission WBC,admission_wbc,Physiology,True,246,188,58,23.6
Admission hematocrit,admission_hematocrit,Physiology,True,246,188,58,23.6
Admission CRP,admission_crp,Physiology,True,246,126,120,48.8
Admission glucose,admission_glucose,Physiology,True,246,239,7,2.8
Admission sodium,admission_sodium,Physiology,True,246,239,7,2.8
Admission hemoglobin,admission_hb,Physiology,True,246,239,7,2.8
Admission PaO2,admission_pao2,Physiology,True,246,237,9,3.7
Heart rate,heart_rate,Physiology,False,246,0,246,100.0
Respiratory rate,respiratory_rate,Physiology,False,246,0,246,100.0
Potassium,potassium,Physiology,False,246,0,246,100.0
pH / HCO3,ph_hco3,Physiology,False,246,0,246,100.0
Aneurysm location (anterior),aneurysm_anterior,Aneurysm,True,246,215,31,12.6
Aneurysm size,aneurysm_size,Aneurysm,True,246,215,31,12.6
Multiple aneurysms,multiple_aneurysms,Aneurysm,True,246,225,21,8.5
Coiling,treatment_coiling,Treatment,True,246,242,4,1.6
Clipping,treatment_clipping,Treatment,True,246,246,0,0.0
Stenting,treatment_stenting,Treatment,True,246,225,21,8.5
Time ictus-to-treatment,time_ictus_to_treatment_days,Treatment,True,246,206,40,16.3
EVD placement,evd,Treatment,True,246,224,22,8.9
DCI,dci,Outcome,True,246,246,0,0.0
Rebleeding,rebleeding,Outcome,True,246,227,19,7.7
Death,death,Outcome,True,246,226,20,8.1
mRS at discharge,mrs_discharge,Outcome,True,246,233,13,5.3
mRS at 1 year,mrs_1y,Outcome,True,246,179,67,27.2
